accident_severity,special_conditions_at_site,pedestrian_movement,road_surface_conditions,light_conditions,weather_conditions,age_of_vehicle,sex_of_driver,age_of_driver,junction_location,junction_detail,junction_control,did_police_officer_attend_scene_of_accident,day_of_week
252422,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,4.07753744390572,1.0,3.0,4.0,1.0,6
252420,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,3.9512437185814275,2.0,3.0,4.0,1.0,6
252419,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,3.9512437185814275,2.0,3.0,4.0,1.0,6
254890,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.9318256327243257,1.0,3.0,4.0,1.0,3
242056,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,3.9512437185814275,1.0,3.0,4.0,1.0,3
254857,1,0.0,0.0,1.0,1,1,2.0794415416798357,1.0,4.442651256490317,8.0,6.0,4.0,1.0,6
195370,1,0.0,0.0,1.0,6,1,2.3978952727983707,1.0,3.912023005428146,4.0,1.0,4.0,1.0,7
283037,1,0.0,1.0,2.0,4,5,2.0794415416798357,1.0,3.5553480614894135,3.0,2.0,4.0,1.0,4
83808,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,4.3694478524670215,6.0,9.0,4.0,1.0,4
162154,1,0.0,0.0,1.0,1,1,2.995732273553991,2.0,4.543294782270004,6.0,3.0,4.0,1.0,1
162153,1,0.0,0.0,1.0,1,1,2.995732273553991,2.0,4.543294782270004,6.0,3.0,4.0,1.0,1
154447,1,0.0,0.0,2.0,1,2,1.3862943611198906,1.0,4.02535169073515,8.0,3.0,4.0,1.0,2
276388,1,0.0,0.0,2.0,6,1,1.6094379124341003,1.0,4.127134385045092,1.0,3.0,4.0,1.0,4
170516,1,0.0,5.0,1.0,1,1,2.3978952727983707,1.0,4.442651256490317,2.0,3.0,4.0,1.0,4
154446,1,0.0,0.0,2.0,1,2,2.70805020110221,1.0,3.784189633918261,8.0,3.0,4.0,1.0,2
228061,1,0.0,0.0,1.0,1,1,3.6888794541139363,1.0,3.1354942159291497,8.0,3.0,4.0,1.0,2
245009,1,0.0,0.0,2.0,1,2,2.3978952727983707,2.0,4.110873864173311,8.0,1.0,4.0,1.0,3
107403,1,0.0,0.0,1.0,1,1,2.302585092994046,2.0,3.970291913552122,1.0,1.0,4.0,1.0,1
107404,1,0.0,0.0,1.0,1,1,2.302585092994046,2.0,3.970291913552122,1.0,1.0,4.0,1.0,1
107405,1,0.0,0.0,1.0,1,1,2.302585092994046,2.0,3.970291913552122,1.0,1.0,4.0,1.0,1
162155,1,0.0,0.0,1.0,1,1,1.791759469228055,2.0,3.5553480614894135,8.0,3.0,4.0,1.0,1
98813,1,0.0,3.0,2.0,4,4,2.1972245773362196,1.0,4.174387269895637,8.0,3.0,2.0,1.0,7
107407,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,3.8501476017100584,8.0,1.0,4.0,1.0,1
204942,1,0.0,0.0,1.0,1,1,1.6094379124341003,2.0,3.367295829986474,8.0,5.0,4.0,1.0,4
204944,1,0.0,0.0,1.0,1,1,2.8903717578961645,1.0,4.30406509320417,8.0,5.0,4.0,1.0,4
251853,1,0.0,0.0,2.0,1,1,2.1972245773362196,1.0,3.258096538021482,1.0,1.0,4.0,1.0,3
118910,1,0.0,0.0,2.0,4,1,1.791759469228055,1.0,3.4965075614664802,8.0,8.0,4.0,1.0,4
219881,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.7376696182833684,1.0,6.0,3.0,1.0,1
219880,1,0.0,0.0,1.0,4,1,2.833213344056216,1.0,3.7376696182833684,1.0,6.0,3.0,1.0,1
219879,1,0.0,0.0,1.0,4,1,2.772588722239781,1.0,3.295836866004329,1.0,6.0,3.0,1.0,1
166116,1,0.0,0.0,1.0,1,1,1.6094379124341003,1.0,3.828641396489095,8.0,6.0,4.0,1.0,1
156613,1,0.0,1.0,1.0,1,1,2.4849066497880004,1.0,3.713572066704308,5.0,3.0,2.0,1.0,6
59613,1,0.0,0.0,1.0,1,1,1.3862943611198906,1.0,4.5217885770490405,5.0,6.0,4.0,1.0,7
107406,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,3.8501476017100584,8.0,1.0,4.0,1.0,1
164295,1,0.0,0.0,1.0,1,1,2.1972245773362196,2.0,4.189654742026425,8.0,5.0,4.0,1.0,3
162156,1,0.0,0.0,1.0,1,1,1.791759469228055,2.0,3.5553480614894135,8.0,3.0,4.0,1.0,1
74977,1,0.0,0.0,2.0,6,1,2.5649493574615367,1.0,3.332204510175204,2.0,3.0,4.0,1.0,5
83809,1,0.0,0.0,1.0,1,1,1.0986122886681098,1.0,4.127134385045092,8.0,9.0,4.0,1.0,4
228020,1,0.0,0.0,1.0,1,1,2.3978952727983707,1.0,3.5263605246161616,1.0,3.0,4.0,1.0,7
69139,1,0.0,1.0,1.0,1,1,1.6094379124341003,1.0,3.4011973816621555,1.0,3.0,4.0,1.0,3
83821,1,0.0,0.0,1.0,1,1,0.6931471805599453,1.0,4.143134726391533,1.0,8.0,4.0,1.0,2
82675,1,0.0,0.0,1.0,6,1,2.4849066497880004,1.0,3.295836866004329,8.0,3.0,4.0,1.0,6
82674,1,0.0,0.0,1.0,6,1,2.4849066497880004,1.0,3.295836866004329,8.0,3.0,4.0,1.0,6
156364,1,0.0,3.0,1.0,4,1,2.4849066497880004,1.0,3.5263605246161616,2.0,3.0,4.0,1.0,1
80515,1,4.0,0.0,1.0,4,1,3.4011973816621555,1.0,3.58351893845611,8.0,5.0,4.0,1.0,3
125085,1,0.0,0.0,1.0,4,1,2.8903717578961645,1.0,2.995732273553991,2.0,3.0,4.0,1.0,1
125084,1,0.0,0.0,1.0,4,1,2.8903717578961645,1.0,2.995732273553991,2.0,3.0,4.0,1.0,1
125083,1,0.0,0.0,1.0,4,1,2.8903717578961645,1.0,2.995732273553991,2.0,3.0,4.0,1.0,1
136098,1,0.0,0.0,1.0,1,1,1.791759469228055,1.0,3.5263605246161616,8.0,6.0,4.0,1.0,3
121346,1,0.0,0.0,1.0,4,1,2.5649493574615367,2.0,3.6109179126442243,6.0,6.0,4.0,1.0,1
121348,1,0.0,0.0,1.0,4,1,2.5649493574615367,2.0,3.6109179126442243,6.0,6.0,4.0,1.0,1
83840,1,0.0,0.0,2.0,6,1,2.6390573296152584,1.0,2.8903717578961645,1.0,3.0,4.0,1.0,6
83841,1,0.0,0.0,2.0,6,1,2.6390573296152584,1.0,2.8903717578961645,1.0,3.0,4.0,1.0,6
125082,1,0.0,0.0,1.0,4,1,2.8903717578961645,1.0,2.995732273553991,2.0,3.0,4.0,1.0,1
125081,1,0.0,0.0,1.0,4,1,2.8903717578961645,1.0,2.995732273553991,2.0,3.0,4.0,1.0,1
230149,1,0.0,0.0,1.0,1,1,2.70805020110221,1.0,4.127134385045092,1.0,8.0,4.0,1.0,1
230150,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,3.9889840465642745,1.0,8.0,4.0,1.0,1
230151,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,3.9889840465642745,1.0,8.0,4.0,1.0,1
228060,1,0.0,0.0,1.0,1,1,2.5649493574615367,1.0,4.430816798843313,6.0,3.0,4.0,1.0,2
121377,1,0.0,0.0,1.0,4,1,2.3978952727983707,1.0,3.1780538303479458,2.0,3.0,4.0,1.0,4
74978,1,0.0,0.0,2.0,6,1,2.5649493574615367,1.0,3.332204510175204,2.0,3.0,4.0,1.0,5
121347,1,0.0,0.0,1.0,4,1,2.5649493574615367,2.0,3.6109179126442243,6.0,6.0,4.0,1.0,1
218322,1,0.0,0.0,1.0,4,1,2.9444389791664403,1.0,3.1780538303479458,1.0,3.0,4.0,1.0,1
